num_target;   la; isd; niter;     tex; tr_acc; te_acc;  L*
         1;  0.0; 1;     5;  0.0829;  100.0;  100.0;  2.21e-13
         1;  0.0; 3;    12;  0.1017;  100.0;  100.0;  3.66e-14
         1;  0.0; 7;  1000;  0.6917;  100.0;  100.0;  3.48e-01
         1;  1.0; 1;   104;  0.3548;  100.0;  100.0;  3.90e+00
         1;  1.0; 3;    21;  0.1458;  100.0;  100.0;  3.90e+00
         1;  1.0; 7;  1000;  1.0931;  100.0;  100.0;  1.21e+01
         1; 10.0; 1;    38;  0.3536;  100.0;  100.0;  1.53e+01
         1; 10.0; 3;    38;  0.3311;  100.0;  100.0;  1.53e+01
         1; 10.0; 7;  1000;  0.8470;  100.0;  100.0;  4.03e+01
         2;  0.0; 1;    80;  0.3043;  100.0;   98.8;  5.77e-07
         2;  0.0; 3;   193;  1.2488;   99.6;   98.4;  1.00e+00
         2;  0.0; 7;  1000;  0.6960;  100.0;   99.2;  1.71e+00
         2;  1.0; 1;   253;  0.6760;   99.6;   99.2;  8.19e+00
         2;  1.0; 3;    25;  0.1582;   99.6;   99.2;  8.19e+00
         2;  1.0; 7;  1000;  0.8508;   95.2;   96.0;  2.10e+01
         2; 10.0; 1;    77;  0.2555;   98.8;   98.8;  2.36e+01
         2; 10.0; 3;    37;  0.1754;   98.8;   98.8;  2.36e+01
         2; 10.0; 7;  1000;  0.7293;   94.0;   95.2;  4.72e+01
         3;  0.0; 1;  1000;  2.5957;  100.0;   95.2;  2.60e-02
         3;  0.0; 3;    51;  0.2137;  100.0;   92.8;  1.02e-37
         3;  0.0; 7;  1000;  0.6771;   98.4;   98.0;  3.12e+00
         3;  1.0; 1;   414;  1.0060;   98.0;   98.0;  1.12e+01
         3;  1.0; 3;    25;  0.1233;   98.0;   98.0;  1.12e+01
         3;  1.0; 7;  1000;  0.6663;   96.8;   96.4;  2.76e+01
         3; 10.0; 1;   106;  0.3327;   97.6;   97.6;  3.01e+01
         3; 10.0; 3;    45;  0.2010;   97.6;   97.6;  3.01e+01
         3; 10.0; 7;  1000;  0.7333;   84.4;   87.6;  5.34e+01
         4;  0.0; 1;     5;  0.0559;  100.0;  100.0;  7.68e-14
         4;  0.0; 3;     5;  0.0489;  100.0;  100.0;  1.80e-12
         4;  0.0; 7;  1000;  0.7558;  100.0;  100.0;  2.94e-01
         4;  1.0; 1;   110;  0.3217;  100.0;  100.0;  3.70e+00
         4;  1.0; 3;    23;  0.1158;  100.0;  100.0;  3.70e+00
